first_name,last_name,emp_no,dept_name
Kamakshi,Bisiani,12365,Production
Mooi,Driscoll,12373,Sales
Sanjit,Felder,12395,Finance
Mihalis,Luga,12399,Sales
Shao,Ibel,12411,Sales
Hugh,Gadepally,12413,Production
Dannz,Spelt,12417,Production
Berhard,Demos,12422,Human Resources
Kerryn,Farris,12454,Sales
Shai,Milicic,12464,Sales
Filipe,Roison,12475,Development
Mona,Reghbati,12487,Finance
Mona,Reghbati,12487,Human Resources
Arnould,Munck,12489,Development
Jackson,Muchinsky,12490,Development
Stein,Penz,12497,Sales
Morrie,Matheson,12501,Finance
Adly,Rosaz,12504,Production
Tomofumi,Melter,12514,Development
Conor,Cincotta,12528,Customer Service
Yongmao,Gerlach,12534,Production
Shih,Nanard,12541,Sales
Kazuhide,Bouloucos,12542,Human Resources
Jeane,Tzvieli,12551,Production
Aral,Vesna,12553,Human Resources
Stafford,Kopetz,12557,Production
Stafford,Kopetz,12557,Quality Management
Anoosh,Chleq,12589,Development
Breannda,Roisin,12596,Human Resources
Ghassan,Simkin,12601,Development
Nectarios,Mondadori,12608,Human Resources
Xinyu,Restivo,12635,Production
Xinyu,Restivo,12635,Customer Service
Yuqun,Seiwald,12638,Development
Suebskul,Gips,12642,Marketing
Pragnesh,Bael,12651,Sales
Leucio,Alvarado,12662,Development
Nobuyoshi,Stellhorn,12663,Development
Zhonghua,Parveen,12664,Sales
Zhonghua,Parveen,12664,Customer Service
Luerbio,Boudaillier,12689,Development
Oddvar,Gils,12691,Production
Uri,Brizzi,12697,Human Resources
Ronghao,Botman,12709,Development
Tzu,Jiafu,12717,Research
Elliott,Cheshire,12722,Finance
Fumitake,Panwar,12726,Development
Nahla,Rahier,12729,Production
Nahla,Rahier,12729,Customer Service
Yongmao,Waymire,12731,Human Resources
Mara,Takanami,12732,Sales
Gil,Frijda,12734,Development
Rildo,Rodite,12755,Human Resources
Jenwei,Lovengreen,12773,Development
Gunilla,Perl,12790,Sales
Masoud,Fordan,12795,Finance
Lillian,Beeson,12798,Sales
Gad,Boissier,12803,Marketing
Gad,Boissier,12803,Sales
Sushant,Junot,12815,Research
Mountaz,Gubsky,12819,Production
Kazuhide,Smeets,12848,Development
Leif,Matheson,12863,Production
Marl,Schmittgen,12872,Sales
Baruch,Eugenio,12879,Development
Neven,Casley,12890,Sales
Licheng,Crouzet,12893,Sales
Roddy,Serot,12895,Production
Munehiro,Gecsei,12905,Development
Heekeun,Luby,12926,Research
Odinaldo,Farrar,12940,Development
Tommaso,Perelgut,12941,Development
Geoff,Asrin,12949,Development
Byong,Markovitch,12977,Development
Elliott,Hambrick,12983,Finance
Yahiko,Kroll,13030,Marketing
Vivian,Stafford,13046,Finance
Atilio,Chelton,13047,Development
Rosella,Morrin,13075,Marketing
Rosella,Morrin,13075,Sales
Deniz,Skafidas,13076,Development
Ibibia,Armand,13096,Quality Management
Srinidhi,Ellozy,13103,Development
Quingbo,Garnick,13124,Sales
Guther,Senzako,13133,Marketing
Guther,Senzako,13133,Customer Service
Lorien,Chepyzhov,13134,Production
Persi,Nollmann,13144,Finance
Haldon,Erie,13146,Sales
Shichao,Ginesta,13147,Sales
Akeel,Millington,13156,Development
Lucian,Benner,13165,Quality Management
Munir,Stentiford,13168,Production
Cheong,Bernardeschi,13170,Finance
Cheong,Bernardeschi,13170,Human Resources
Anoosh,Birnbaum,13171,Quality Management
Arve,Horswill,13173,Sales
Moty,Janocha,13179,Sales
Kokou,Rodite,13182,Production
Kyoichi,Barbanera,13186,Sales
Rosita,Flowers,13192,Production
Rosita,Flowers,13192,Development
Aram,Scharstein,13202,Research
Jianhua,Klassen,13210,Marketing
Jianhua,Klassen,13210,Sales
Hein,Billawala,13213,Sales
Mitchel,Fujisaki,13232,Development
Alselm,Chvatal,13233,Development
Ebru,Foote,13238,Sales
King,Pileggi,13240,Development
Zeydy,Schusler,13250,Production
Arun,Jiang,13272,Customer Service
Yechiam,Seuren,13276,Finance
Muneo,Broomell,13288,Human Resources
Georg,Stamatiou,13291,Development
Mack,Alencar,13302,Development
Sakthirel,Stroustrup,13315,Development
Nidapan,Pearson,13332,Production
Yoshinari,Hennebert,13333,Production
Yoshinari,Hennebert,13333,Development
Bodh,Doering,13341,Marketing
Heon,Usery,13343,Finance
Heon,Usery,13343,Human Resources
Kiyokazu,Klassen,13368,Human Resources
Nakhoon,Riexinger,13371,Production
Juichirou,Naumovich,13373,Finance
Juichirou,Naumovich,13373,Human Resources
Claudi,Buchter,13385,Human Resources
Khosrow,Sgarro,13386,Development
Divine,Cmelik,13389,Research
Fumitake,Beidas,13392,Sales
Chuanyi,Aumann,13396,Customer Service
Augustine,Dulli,13402,Development
Augustine,Dulli,13402,Research
Randy,Baba,13405,Sales
Gio,Chenoweth,13407,Production
Sreekrishna,Lagarias,13408,Production
Nathalie,Speer,13415,Quality Management
Vishwani,Gerlach,13422,Production
Vishwani,Gerlach,13422,Quality Management
Giordano,Miake,13442,Human Resources
Mayuko,Puppo,13443,Quality Management
Renee,Dehkordi,13445,Production
Gretta,Weiland,13451,Human Resources
Shooichi,Parfitt,13457,Quality Management
Feipei,Nivat,13458,Production
Feipei,Nivat,13458,Customer Service
Theron,Berstel,13463,Production
Sasan,Rehfuss,13465,Production
Uinam,Jullig,13493,Development
Parto,Mandell,13504,Development
Chaoyi,Porotnikoff,13524,Sales
Arunas,Schlenzig,13535,Production
Aimee,Brookner,13546,Production
Matk,Koprowski,13549,Development
Ingmar,Capobianchi,13552,Research
Jungsoon,Engberts,13576,Development
Jungsoon,Engberts,13576,Research
Dmitry,Encarnacion,13605,Sales
Fei,Haddadi,13621,Development
Zhigen,Yurek,13624,Human Resources
Dzung,Trelles,13629,Development
Zejun,Lamba,13648,Production
Kristen,Iivonen,13653,Human Resources
Moti,Takanami,13670,Development
Denny,Speer,13680,Sales
Weicheng,Hockney,13685,Development
Shuichi,Weedon,13697,Development
Vishu,Kumaresan,13704,Production
Sugwoo,Delgrossi,13721,Sales
Vitali,Merey,13727,Human Resources
Bangqing,Mitchem,13738,Development
Tremaine,Heemskerk,13766,Customer Service
Yakichi,Trogemann,13769,Sales
Arve,Maierhofer,13775,Sales
Takushi,Berendt,13786,Sales
Xiaobin,Sinicrope,13787,Production
Valery,Sury,13792,Finance
Paloma,Thorelli,13796,Development
Kiyotoshi,Basagni,13809,Customer Service
Guadalupe,Plotkin,13815,Production
Arlette,Pell,13825,Production
Christophe,Spinelli,13841,Production
Christophe,Spinelli,13841,Quality Management
Juichirou,Cichocki,13842,Research
Guiseppe,Welham,13846,Research
Mingsen,Roohalamini,13853,Research
Anoosh,Fujisawa,13859,Development
Kensei,Swift,13884,Production
Ult,Schonegge,13894,Production
Youngkon,Cairo,13904,Development
Shiv,Bratsberg,13934,Development
Elzbieta,Esteva,13942,Development
Mooi,Genther,13951,Sales
Nechama,Hettesheimer,13960,Finance
Maris,Ghelli,13962,Production
Boguslaw,Cooman,13966,Customer Service
Jianwen,Chandrasekhar,13969,Development
Deborah,Schapiro,13990,Development
Ulises,Kenevan,13992,Finance
Florian,Crouzet,13999,Human Resources
Vojin,Stellhorn,14005,Development
Vojin,Stellhorn,14005,Quality Management
Manibrata,Picaronny,14015,Production
Manibrata,Picaronny,14015,Quality Management
Aloys,Seghrouchni,14034,Finance
Shan,DeMori,14041,Marketing
Godehard,Trachtenberg,14067,Production
Mori,Leslie,14088,Research
Xiahua,Rindone,14107,Marketing
Leszek,Cummings,14111,Customer Service
Kasturi,Anido,14118,Customer Service
Adas,Hertweck,14167,Production
Jiann,Luby,14191,Development
Masanao,Kusakabe,14209,Research
Tomofumi,Pargas,14220,Production
Masali,Bojadziev,14232,Development
Xuedong,Angiulli,14236,Research
Abdulla,Gerlach,14237,Production
Abdulla,Gerlach,14237,Customer Service
Sudhanshu,Benaini,14242,Customer Service
Kwok,Massonet,14257,Production
Kwok,Massonet,14257,Customer Service
Miyeon,Olivero,14290,Production
Susanna,Vigier,14292,Research
Chriss,Granlund,14298,Production
Marlo,Leuchs,14310,Sales
Sreenivas,Schaar,14320,Production
Shem,Kakkad,14322,Development
Golgen,Leslie,14323,Production
Golgen,Leslie,14323,Customer Service
Vitaly,Wixon,14340,Production
Otilia,Buescher,14344,Production
Mong,Bojadziev,14354,Sales
Janche,Erbe,14360,Research
Saniya,Srimani,14372,Development
Saniya,Srimani,14372,Research
Tomofumi,Holburn,14384,Development
Toshimo,Gadepally,14422,Production
Elvis,Maginnis,14434,Development
Raimond,Woycyznski,14439,Quality Management
Yagil,Lueh,14460,Production
Munehiro,Boissier,14478,Sales
Moti,Lammel,14481,Production
Supot,Marrevee,14483,Development
Indrajit,Birdsall,14486,Production
Xiong,Selenyi,14498,Human Resources
Taizo,Kroft,14501,Production
Danil,Aloia,14509,Finance
Samphel,Barreiro,14513,Marketing
Samphel,Barreiro,14513,Sales
Kazuhisa,Versino,14515,Quality Management
Kristian,Underwood,14516,Sales
Patricia,Peir,14518,Production
Chuanyi,Ranta,14522,Finance
Babette,Engelmann,14537,Quality Management
Ibibia,Snyers,14552,Development
Fatemeh,Zultner,14556,Production
Elrique,Driscoll,14560,Development
Gao,Condotta,14581,Development
Kiyokazu,Morrin,14582,Development
Jayson,Cairo,14600,Customer Service
Lech,Marquardt,14603,Development
Suzette,Selvestrel,14607,Sales
Jianhua,Erev,14620,Production
Souichi,Wixon,14621,Sales
Gudjon,McClurg,14632,Quality Management
Arvind,Hempstead,14639,Sales
Toshimori,Kornatzky,14640,Development
Florian,Kuhnemann,14642,Development
Laurentiu,Glinert,14645,Development
IEEE,Lorys,14648,Sales
Sashi,Adachi,14659,Quality Management
Teunis,Angel,14675,Human Resources
Herbert,Sifakis,14677,Production
Alois,Basart,14683,Production
Alois,Basart,14683,Customer Service
Yechezkel,Bellone,14690,Development
Brewster,Stranks,14693,Customer Service
Mahmut,Hainaut,14710,Marketing
Constantino,Assaf,14723,Human Resources
Aron,Lemarechal,14724,Finance
Marlo,Bruckman,14780,Production
Zhonghua,Kaiser,14785,Production
Zhonghua,Kaiser,14785,Customer Service
Stein,Uchoa,14793,Development
Odysseas,Nishimukai,14814,Customer Service
Gaurav,Masaki,14817,Development
Gaurav,Masaki,14817,Research
Oguz,Kilgore,14821,Development
Changho,Cronin,14839,Development
Taiji,Nergos,14853,Development
Arto,Meriste,14877,Development
Anyuan,Sigstam,14879,Development
Temple,Barriga,14888,Sales
Alejandro,Casley,14899,Finance
Alejandro,Casley,14899,Sales
Adil,Parveen,14906,Research
Kerhong,Flanders,14908,Production
Kerhong,Flanders,14908,Development
Mohan,Kamble,14909,Development
Xiaobin,Chelton,14911,Production
Gretta,Benzaken,14914,Development
Huican,Picco,14915,Production
Shuzo,Gyorkos,14923,Development
Satoru,Mukaidono,14928,Human Resources
Nathan,Lichtner,14941,Development
Heon,Benveniste,14942,Quality Management
Insup,Reinhart,14949,Production
Fox,Magliocco,14954,Development
Fan,Simmen,14971,Finance
Hyuckchul,Pouyioutas,14983,Marketing
Sanjay,Koblitz,14993,Development
Kiam,Sadowsky,15005,Production
Woody,Gulik,15016,Finance
Ramalingam,Prenel,15018,Marketing
Qingxiang,Shokrollahi,15019,Production
Qingxiang,Shokrollahi,15019,Quality Management
Giordano,Koshino,15029,Customer Service
Rasikan,Nourani,15030,Sales
Ziva,Delgrande,15036,Development
Khun,Waymire,15049,Customer Service
Flemming,Kranzdorf,15052,Production
Shrikanth,Sherertz,15055,Research
Tomokazu,Oaver,15066,Development
Manton,Siksek,15069,Production
Ayonca,Couchot,15071,Sales
Radoslaw,Rijsenbrij,15075,Production
Toshiki,Taubenfeld,15077,Production
Guadalupe,Zirintsis,15082,Development
Chirstian,Ushiama,15087,Production
Giri,Coney,15089,Development
Remmert,Bahi,15092,Customer Service
Luigi,Axelband,15102,Production
Sudhanshu,Itzigehl,15105,Marketing
Sudhanshu,Itzigehl,15105,Sales
Pantung,Honglei,15114,Development
Arun,Luiz,15134,Sales
Haldon,Servieres,15145,Production
Urs,Pouyioutas,15151,Marketing
Urs,Pouyioutas,15151,Sales
Charlene,Sankaranarayanan,15176,Sales
Neelam,Schach,15193,Development
Souichi,Duclos,15196,Development
Pranay,Irland,15202,Production
Pranay,Irland,15202,Development
Sudharsan,Shokrollahi,15208,Research
Shuky,Conry,15218,Finance
Mona,Salvesen,15228,Human Resources
Keiichiro,Suessmith,15230,Development
Jouko,Zhiwei,15234,Development
Reinhard,Sadowsky,15237,Development
Mountaz,Famili,15243,Finance
Edwin,Baar,15248,Marketing
Ayonca,Pardalos,15253,Production
Eric,Reghbati,15269,Production
Shiv,Bernardeschi,15271,Sales
Miyeon,Lammel,15292,Sales
Ziya,Lunn,15324,Production
Fan,Openshaw,15329,Development
Jaroslava,Chinal,15330,Sales
Masaru,Radivojevic,15337,Quality Management
Chaosheng,Luce,15343,Quality Management
Chikara,Nyrup,15354,Customer Service
Mikhail,Schiettecatte,15365,Development
Premal,Penttonen,15369,Sales
Chuanyi,Nilsson,15370,Development
Chuanyi,Nilsson,15370,Research
Nahum,Broder,15372,Sales
Shuho,Manders,15375,Finance
Shugo,Aumann,15377,Development
Alassane,Siegrist,15382,Sales
Pradeep,Markovitch,15392,Development
Maik,Penttonen,15408,Research
Wilmer,Kushner,15410,Marketing
Wilmer,Kushner,15410,Sales
Huai,Thiria,15412,Development
Constantijn,Munoz,15438,Finance
Arvind,Weisert,15441,Research
Kazuhira,Weedman,15452,Development
Hongzue,Cesareni,15454,Sales
Weiwu,Huhdanpaa,15470,Production
Gilbert,Plumb,15474,Sales
Zhenbing,Soicher,15479,Production
Kwok,Trogemann,15480,Development
Kasturi,Alpin,15504,Development
Collette,Mikschl,15505,Production
Inderjeet,Sethi,15510,Development
George,Kowalchuk,15511,Sales
Uno,Valtorta,15518,Development
Masadi,Cherinka,15525,Development
Guozhong,Grabner,15534,Finance
Mingdong,Staelin,15543,Production
Sanjai,Caine,15548,Development
Sanjai,Caine,15548,Research
Constantino,Zykh,15563,Customer Service
True,Muchinsky,15565,Marketing
Baoqiu,Azuma,15566,Sales
Mack,Perna,15600,Production
Carrsten,Anily,15601,Sales
Huan,Iwayama,15651,Production
Mohammad,Schaaf,15656,Marketing
Hiroyasu,Przulj,15682,Quality Management
Dekang,Ambroszkiewicz,15687,Finance
Chenye,Hanratty,15703,Development
Reuven,Kushnir,15708,Sales
Troy,Bala,15714,Production
Insup,Ibel,15715,Marketing
Insup,Ibel,15715,Sales
Zhilian,Parascandalo,15726,Marketing
Poorav,Bahr,15739,Development
Stepehn,Pocchiola,15740,Sales
Arumugam,Bresenham,15750,Production
Tonny,Taubenfeld,15765,Development
Baocai,Broomell,15767,Production
Pranay,Oskamp,15769,Marketing
Taegyun,Deyuan,15788,Production
Manton,Gelosh,15799,Sales
Mingsen,Antonisse,15809,Finance
Magdalena,Rajcani,15819,Marketing
Magdalena,Rajcani,15819,Sales
Aleksander,Antonakopoulos,15821,Development
Bowen,Litecky,15846,Production
Gio,Anido,15861,Marketing
Angel,Seiwald,15866,Production
Angel,Seiwald,15866,Quality Management
Guoxiang,Bala,15869,Production
Munehiro,Vakili,15876,Development
Yannik,Kroll,15877,Production
Miquel,Dechter,15880,Production
Sasan,Azumi,15889,Development
Lunjin,Pettis,15892,Production
Marsja,Fargier,15901,Production
Marsja,Fargier,15901,Quality Management
Kazuhide,Stille,15902,Research
DeForest,Petersohn,15905,Production
Shaibal,Viele,15911,Production
Shaibal,Viele,15911,Customer Service
Kensyu,Shinomoto,15934,Production
Garnik,Covnot,15938,Sales
Murthy,Rosca,15942,Production
Yakkov,Demke,15943,Production
Yakkov,Demke,15943,Quality Management
Hauke,Larfeldt,15945,Production
Karoline,Versino,15948,Development
Yuguang,Dratva,15955,Production
Arumugam,Aloia,15971,Development
King,Ballarin,15977,Research
Kaijung,Wielonsky,15978,Production
Kaijung,Wielonsky,15978,Quality Management
Yoshimitsu,Peir,15993,Development
Marek,Demos,16000,Production
Boutros,Papadias,16018,Production
Chaoyi,Heystek,16019,Development
Chaoyi,Heystek,16019,Research
Doowon,Luce,16025,Development
JiYoung,Takkinen,16028,Production
Wayne,Spelt,16033,Finance
Maria,Rodham,16052,Development
Marsha,Penn,16066,Sales
Leandro,Zongker,16068,Finance
Marko,Ebeling,16076,Development
Kannan,Heemskerk,16077,Development
Mohammad,Denos,16086,Development
Berto,Rosar,16094,Development
Mohan,Ferretti,16099,Human Resources
Tse,Crabtree,16126,Customer Service
Kerryn,Belinskaya,16130,Development
Annemarie,Chaudhuri,16134,Development
Leucio,Krzyzanowski,16138,Marketing
Monique,Docker,16154,Quality Management
Marin,Winter,16185,Development
Leandro,Sigstam,16192,Production
Leandro,Sigstam,16192,Customer Service
Krassimir,Olano,16201,Development
Hitomi,Vural,16227,Production
Ronnie,Lanzelotte,16229,Customer Service
Ung,Babu,16230,Production
Ung,Babu,16230,Customer Service
Sushant,Baba,16233,Sales
Jacopo,Basart,16234,Customer Service
Makato,Masaki,16246,Production
Carrsten,Mattern,16252,Production
Mikhail,Sethi,16266,Sales
Shuho,Zeleznik,16272,Development
Shuho,Zeleznik,16272,Research
Sadun,Navazio,16274,Finance
Billie,Bazzichi,16324,Human Resources
Hironoby,Schaad,16337,Production
Boutros,Fendler,16341,Research
Nikolaos,Luca,16355,Sales
Yifei,Gini,16364,Sales
Janalee,Mellouli,16365,Research
Duri,Stanger,16377,Production
Zhilian,Chleq,16380,Customer Service
Chaoyi,Talmon,16382,Production
Lidong,Czap,16383,Production
Subhankar,Georgatos,16388,Customer Service
Shimshon,Cusworth,16397,Finance
Limsoon,Krzyzanowski,16398,Sales
Apostol,Collette,16399,Sales
Apostol,Collette,16399,Customer Service
Rafols,Rabehasaina,16404,Production
Moss,Tokunaga,16412,Production
Idoia,Beerel,16425,Production
Abdulla,Demeyer,16438,Production
Jouko,Chinin,16446,Sales
Zhiguo,Savasere,16447,Production
Zhiguo,Savasere,16447,Development
Tsvetan,Zwicker,16448,Development
Goncalo,Basart,16453,Human Resources
Bogdan,Birta,16471,Research
Jixiang,Eiter,16479,Finance
Sanjay,Perin,16486,Research
Arunas,Yemenis,16487,Sales
Muzhong,Thiria,16490,Sales
Emdad,Radwan,16491,Customer Service
Mong,Cromarty,16504,Development
Mototsugu,Vecchio,16510,Customer Service
Weidon,Seiwald,16537,Development
Gretta,Fetvedt,16539,Production
Sangeeta,Lanphier,16546,Development
